PIP region,year,"Prosperity Gap, z=25/day","Prosperity Gap regional contribution to global, z=25/day","Inequality, z=ybar","Mean, $/day"
OHI,1989,1.165495248332399,.2004870176315308,2.034011125564575,43.62975939330912
WLD,1989,10.9590689445283,10.95906925201416,5.113381862640381,11.66472651367175
SSA,1990,17.88223240441155,1.745286583900452,2.47271466255188,3.456943523813969
LAC,1990,8.012427148163905,.6619288921356201,3.474746227264404,10.84174083639694
ECA,1990,3.829766726454094,.3357212841510773,2.083204984664917,13.59877253721197
WLD,1990,10.90609067764626,10.90609073638916,5.036690711975098,11.54559125931419
SAS,1990,12.68382070071473,2.734767436981201,1.354642868041992,2.670021225135706
OHI,1990,1.154109350230117,.1966903805732727,2.031336545944214,44.00225415644543
EAP,1990,16.51618451974853,4.996428489685059,1.584772944450378,2.398818146928618
MNA,1990,5.399346007608446,.2352675050497055,1.58583402633667,7.342713654941439
