country/economy code,year,"reporting data level: rural, urban, or national coverage",income or consumption used in survey,"Prosperity Gap, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
AGO,2007,national,consumption,7.185644530886,2.026599645614624,7.896966010782
AGO,2008,national,consumption,6.852622404032,1.896043300628662,7.747284175897
AGO,2009,national,consumption,7.24267468354,1.875345468521118,7.250038905974
AGO,2010,national,consumption,7.710065535769,1.960902094841003,7.121243890035
AGO,2011,national,consumption,7.871147783335,2.042072534561157,7.264256153083
AGO,2012,national,consumption,8.026648224786999,2.117741823196411,7.38748850163
AGO,2013,national,consumption,8.240045251725,2.187778472900391,7.434157838049
AGO,2014,national,consumption,8.191341646554999,2.252431869506836,7.69936055916
AGO,2015,national,consumption,8.64958429634,2.31182074546814,7.483709664069
AGO,2016,national,consumption,9.465753092066,2.365805387496948,6.998127640038
AGO,2017,national,consumption,10.160279713569,2.414506196975708,6.653967782424
AGO,2018,national,consumption,10.966473874055,2.457780599594116,6.275294767109
AGO,2019,national,consumption,11.356021012131,2.462841510772705,6.072510840015
AGO,2020,national,consumption,12.066553509951,2.458104610443115,5.703942439671
AGO,2021,national,consumption,12.229699399952,2.456997156143188,5.625315933328
AGO,2022,national,consumption,12.241584796182,2.456912994384766,5.619661325655
AGO,2023,national,consumption,12.408440549418,2.455746650695801,5.541462314265
AGO,2024,national,consumption,12.30091218034,2.456494331359863,5.591604978298
AGO,2025,national,consumption,12.328942857091,2.456298112869263,5.57844640385
ALB,1981,national,consumption,3.752053043955,1.204149127006531,8.986060280187001
ALB,1982,national,consumption,3.731266603602,1.204149127006531,9.036120548153001
ALB,1983,national,consumption,3.75801470622,1.204149127006531,8.971804919136
ALB,1984,national,consumption,3.847084248952,1.204149127006531,8.764085381447
ALB,1985,national,consumption,3.854925813519,1.204149127006531,8.746257764338001
ALB,1986,national,consumption,3.759793309406,1.204149127006531,8.967560728162001
ALB,1987,national,consumption,3.833576135338,1.204149127006531,8.794966797877001
ALB,1988,national,consumption,3.923172193667,1.204149127006531,8.594110368615
ALB,1989,national,consumption,3.741823515859,1.204149127006531,9.010626686301
ALB,1990,national,consumption,4.059765412672,1.204149127006531,8.304956419947001
ALB,1991,national,consumption,5.030487185323,1.204149127006531,6.702367700256
ALB,1992,national,consumption,5.275026098508,1.204149127006531,6.391660287136
ALB,1993,national,consumption,4.922525773521,1.204149127006531,6.849364813652
ALB,1994,national,consumption,4.631708522864,1.204149127006531,7.279425002889
ALB,1995,national,consumption,4.217655113864,1.204149127006531,7.994056867429
ALB,1996,national,consumption,3.993845609649,1.204149127006531,8.442032597856
ALB,1997,national,consumption,4.562536082361,1.229648590087891,7.546276887182
ALB,1998,national,consumption,4.505443918777,1.250273466110229,7.770079708522
ALB,1999,national,consumption,4.120603160846,1.249922871589661,8.493378446305
ALB,2000,national,consumption,4.148053748733,1.264985322952271,8.538845596097
ALB,2001,national,consumption,4.168969146177,1.280047535896301,8.597168892263999
ALB,2002,national,consumption,4.199449353129,1.294080376625061,8.628333842450999
ALB,2003,national,consumption,4.014852602995,1.289141893386841,8.990609847093999
ALB,2004,national,consumption,3.835865774228,1.283101439476013,9.366031657532
ALB,2005,national,consumption,3.665724988579,1.27697217464447,9.753929077405999
ALB,2006,national,consumption,3.542728588437,1.268512845039368,10.025707315004
ALB,2007,national,consumption,3.411568205401,1.259416341781616,10.336494698689
ALB,2008,national,consumption,3.27706290234,1.250207781791687,10.682071072609
ALB,2009,national,consumption,3.324418176996,1.25208580493927,10.545726045391
ALB,2010,national,consumption,3.382109599282,1.252352356910706,10.368045227955
ALB,2011,national,consumption,3.394229665322,1.251296520233154,10.322313262735
ALB,2012,national,consumption,3.452785787613,1.248887062072754,10.127717460025
ALB,2013,national,consumption,3.628638262399,1.32737672328949,10.242560952362
ALB,2014,national,consumption,3.647494711259,1.405826210975647,10.791827595527
ALB,2015,national,consumption,2.878526676005,1.339619159698486,13.030741705777
ALB,2016,national,consumption,2.886863706587,1.374959230422974,13.335877223746
ALB,2017,national,consumption,2.877510491993,1.357295036315918,13.207340743472
ALB,2018,national,consumption,2.567110674226,1.299205422401428,14.170698885466
ALB,2019,national,consumption,2.423446365689,1.266408085823059,14.631818313763
ALB,2020,national,consumption,2.386960094754,1.265699028968811,14.847157669537
ALB,2021,national,consumption,2.298162964426,1.265699028968811,15.420826732605
ALB,2022,national,consumption,2.186346779833,1.265699028968811,16.209493024903
ALB,2023,national,consumption,2.125422299159,1.265699028968811,16.674132426172
ALB,2024,national,consumption,2.058113792212,1.265699028968811,17.219442876206
ALB,2025,national,consumption,2.002679559131,1.265699028968811,17.69607759571
AND,1981,national,income,.847789347668,1.437765002250671,47.48516676608
AND,1982,national,income,.865359411674,1.444491982460022,46.738700799317
AND,1983,national,income,.883543649541,1.45059609413147,45.970215371802
AND,1984,national,income,.899350942028,1.455752849578857,45.322775837393
AND,1985,national,income,.907394907378,1.459117293357849,45.024810778721
AND,1986,national,income,.913299714048,1.461481094360352,44.806178948801
AND,1987,national,income,.899675034753,1.459756970405579,45.431063433706
AND,1988,national,income,.883462597421,1.45848023891449,46.224306186323
AND,1989,national,income,.85914136126,1.455925941467285,47.449616054394
AND,1990,national,income,.85050656701,1.458063244819641,48.001711196404
AND,1991,national,income,.882276446699,1.466937899589539,46.554866722803
AND,1992,national,income,.914658078653,1.476380109786987,45.195733359899
AND,1993,national,income,.957966249251,1.48684549331665,43.458393356422
