PIP region,year,"Prosperity Gap, z=28/day","Prosperity Gap regional contribution to global, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
SAS,1989,10.09859255100704,1.9221351146698,1.257220268249512,3.4858490140738
SAS,1990,10.03554600111489,1.918949961662292,1.257591366767883,3.50878349688745
AFE,1990,16.65569409260268,.9798356294631958,2.647614240646362,4.450922353113575
AFW,1990,18.08018645570165,.7150059342384338,2.218044757843018,3.434989553290302
SSF,1990,17.2283332371593,1.694841623306274,2.487354278564453,4.042522206866253
NAC,1990,.9090386615409383,.047580648213625,2.079530477523804,64.05321771925307
LCN,1990,7.750591999641585,.6449382305145264,3.424194574356079,12.37033897103105
EAS,1990,13.43876824851476,4.609736919403076,3.221313714981079,6.711685181140904
MEA,1990,9.02400639293416,.6526800394058228,2.534883975982666,7.865326229873797
WLD,1990,9.999781415854509,9.999781608581543,4.604469299316406,12.89279547223559
ECS,1990,2.702343438910996,.4310545921325684,2.765719890594482,28.65666705771729
NAC,1991,.9405623774236093,.0490619018673897,2.124812841415405,63.25445543050106
SSF,1991,17.88080641787859,1.777369141578674,2.525614500045776,3.954922778098043
AFE,1991,17.42185872501975,1.0360426902771,2.710095167160034,4.355601089788668
ECS,1991,2.845431687487762,.4484095871448517,2.889145374298096,28.43015758196899
AFW,1991,18.56426882141873,.7413265705108643,2.226541996002197,3.358234819501614
EAS,1991,13.18241388618881,4.511625289916992,3.241747140884399,6.885606832890993
LCN,1991,7.677148949721648,.639887273311615,3.346904754638672,12.20678884560801
SAS,1991,10.01671772830359,1.92407763004303,1.254578948020935,3.506958366149494
MEA,1991,8.313869649484866,.6082878112792969,2.354609489440918,7.930009716766986
WLD,1991,9.958718788935473,9.958719253540039,4.552824974060059,12.80075346993497
AFW,1992,18.94984658685731,.7652816772460938,2.238094806671143,3.30697409230027
EAS,1992,12.77185491862553,4.358409404754639,3.221537828445435,7.062643717820023
LCN,1992,7.844162073277107,.654852032661438,3.326084852218628,11.87257169292072
NAC,1992,.9194489438335888,.0478337071835995,2.079578399658203,63.32944811066413
AFE,1992,17.9544161941653,1.078757405281067,2.708372592926025,4.223720205442198
ECS,1992,3.111698643002593,.4844211935997009,3.10578465461731,27.94678448521305
WLD,1992,9.867850822081504,9.867851257324219,4.486079692840576,12.72923861906841
SAS,1992,9.931721750229935,1.916803479194641,1.253332257270813,3.533456151746531
MEA,1992,7.577627366882091,.5614916682243347,2.240016937255859,8.277060046646307
SSF,1992,18.35454519256566,1.844038963317871,2.527171611785889,3.855219598336068
EAS,1993,12.38639290539646,4.214119911193848,3.186363935470581,7.20291916856022
AFE,1993,18.18120279258215,1.105369687080383,2.582545518875122,3.97725483480184
LCN,1993,7.812865509881778,.6533103585243225,3.519409418106079,12.61297319620332
SAS,1993,9.825643018901145,1.90562629699707,1.25377631187439,3.572869118620205
MEA,1993,7.483913734995365,.5610137581825256,2.228101968765259,8.336127241290075
SSF,1993,18.30248847273699,1.860155344009399,2.430726289749146,3.718638524490157
WLD,1993,9.760596885902103,9.760597229003906,4.426978588104248,12.699571624347
NAC,1993,.9975911029889742,.0517481900751591,2.293301105499268,64.36748308116741
ECS,1993,3.347261629986759,.5146231651306152,3.234299659729004,27.05506841389959
AFW,1993,18.48305805905376,.7547857165336609,2.200547695159912,3.333611700976195
NAC,1994,.9771445103630199,.0505247227847576,2.286464691162109,65.51846824745552
LCN,1994,7.622655231956085,.6384913325309753,3.539029598236084,12.99977842626023
EAS,1994,11.52868343249422,3.911793947219849,3.095002174377441,7.516908487728433
SSF,1994,18.55878641088676,1.907495737075806,2.441989183425903,3.684276168100536
WLD,1994,9.487948347259399,9.487948417663574,4.356203079223633,12.85564345879433
SAS,1994,9.734628459649263,1.897200226783752,1.256323456764221,3.613600368983932
AFW,1994,18.57317473018531,.7670059204101563,2.226452350616455,3.35648935226546
AFE,1994,18.54912246256241,1.140489816665649,2.586565732955933,3.904434949950255
MEA,1994,7.070517741364889,.5356734395027161,2.149096488952637,8.510649633693063
ECS,1994,3.602217058666744,.5467687845230103,3.475687742233276,27.016489225351
WLD,1995,9.231322902165873,9.2313232421875,4.323890209197998,13.11501423368389
LCN,1995,7.371645028318281,.6185019016265869,3.545968055725098,13.46878593652028
AFE,1995,18.36171991368122,1.141361951828003,2.606505870819092,3.974691002815003
AFW,1995,18.46389409129436,.7718421220779419,2.240552425384521,3.397737785044996
MEA,1995,7.153122710580964,.5473712682723999,2.186795949935913,8.559937740733297
SSF,1995,18.40280356325029,1.913204073905945,2.459864139556885,3.742701430005732
NAC,1995,.9632331869907688,.049641739577055,2.28496789932251,66.42119467250089
SAS,1995,9.67726096867669,1.895326972007751,1.261428475379944,3.649792816792837
EAS,1995,10.89585071192886,3.687064409255981,3.041319847106934,7.815539697813404
ECS,1995,3.472004184781551,.5202128887176514,3.441301107406616,27.75239570280617
AFE,1996,18.06816490027747,1.136165022850037,2.60655403137207,4.039343015830354
NAC,1996,.9783426772144956,.0502501241862774,2.347972631454468,67.19857774711643
EAS,1996,10.34363392851048,3.490439414978027,3.009696960449219,8.147186249279665
MEA,1996,6.724866338168949,.5195680260658264,2.118896245956421,8.822345964877753
LCN,1996,7.907917127714296,.6644489765167236,3.761317491531372,13.31790468240252
ECS,1996,3.611205770684719,.5340407490730286,3.59141731262207,27.84656713962969
AFW,1996,18.05658763585205,.7641622424125671,2.235318183898926,3.46626456930265
SSF,1996,18.06350765060386,1.900327324867249,2.457158088684082,3.808807605221375
SAS,1996,9.629769380685595,1.895317435264587,1.264935493469238,3.677989954236825
WLD,1996,9.054391831148649,9.054391860961914,4.282739639282227,13.24403744581048
AFE,1997,18.18582892403036,1.156211733818054,2.626083850860596,4.043277053110543
NAC,1997,1.020776272587726,.0522826872766018,2.519105434417725,69.09932349674627
SAS,1997,9.607500746631668,1.900251746177673,1.26802396774292,3.695515956570786
WLD,1997,9.016716325446701,9.016716003417969,4.319230079650879,13.41269199720538
LCN,1997,7.736994425365297,.6509365439414978,3.766985177993774,13.63263021808785
ECS,1997,3.521843576004011,.5140097141265869,3.53400993347168,28.09672715621099
SSF,1997,17.90415727071723,1.905587077140808,2.443111419677734,3.820739364977193
MEA,1997,6.585172649187033,.5136475563049316,2.125331878662109,9.036861099533999
EAS,1997,10.34243970596041,3.480000734329224,3.055532932281494,8.272218613873504
AFW,1997,17.48628315177575,.7493754029273987,2.179910898208618,3.490593468980268
WLD,1998,9.117798794271248,9.117798805236816,4.420140743255615,13.57388375069202
EAS,1998,10.62284728336821,3.562978029251099,3.077092170715332,8.110686444322914
ECS,1998,3.52840798088581,.5081942677497864,3.65576434135437,29.01064752931367
AFE,1998,18.46482567401083,1.187562346458435,2.618110179901123,3.970093658843969
NAC,1998,1.035769327454324,.0528888218104839,2.628124713897705,71.04621603978352
SAS,1998,9.583968215790046,1.904958248138428,1.27099621295929,3.713273209422044
AFW,1998,16.9259201470486,.7350268363952637,2.11571192741394,3.499953518864561
MEA,1998,6.617299506510109,.521130383014679,2.194237232208252,9.284549465668437
LCN,1998,7.657179129388591,.6450594663619995,3.800536394119263,13.89741811257946
SSF,1998,17.84455384371855,1.922589182853699,2.409396409988403,3.780598800316468
SSF,1999,17.60573029892759,1.921084523200989,2.355999231338501,3.746960787617561
AFE,1999,18.37698704129098,1.196483373641968,2.567155838012695,3.911433662154987
NAC,1999,.977897816033974,.0497929602861404,2.540270566940308,72.73518346407978
LCN,1999,7.823887535994421,.6599675416946411,3.763283252716064,13.46797578759544
ECS,1999,3.850626831189125,.5475324392318726,3.971227645874023,28.87695374340355
AFW,1999,16.46472697431485,.7246010899543762,2.060230255126953,3.503638316191566
WLD,1999,8.980863472416981,8.980863571166992,4.374112606048584,13.63734742563963
MEA,1999,6.619737492257157,.5264840722084045,2.212281465530396,9.357453009858077
SAS,1999,9.533768014149564,1.904531121253967,1.273475885391235,3.740108384916726
EAS,1999,10.09061919679082,3.371471166610718,3.010785579681396,8.354492054925377
AFE,2000,18.49134187597184,1.218844890594482,2.573205232620239,3.896404320731578
WLD,2000,8.815708230698919,8.815708160400391,4.398690700531006,13.97089537428306
SAS,2000,9.502417786777066,1.907898902893066,1.276127696037292,3.760261481579469
AFW,2000,16.1901391951456,.7224701046943665,2.027193069458008,3.505924589601968
ECS,2000,3.671619372930517,.515652596950531,3.934879302978516,30.00763661182954
SSF,2000,17.56235229891045,1.941314935684204,2.345056056976318,3.738768662084206
LCN,2000,7.508863862101424,.6340028643608093,3.780578851699829,14.09750001178263
EAS,2000,9.724180450969705,3.235377788543701,3.008073806762695,8.661508184554835
NAC,2000,.9781229989101701,.0496705435216427,2.574027299880981,73.68476907283839
MEA,2000,6.621866905963367,.5317906737327576,2.280289888381958,9.642011907708902
AFE,2001,18.21375746106228,1.215612530708313,2.562619924545288,3.939514199651165
MEA,2001,6.689959125756253,.5425552725791931,2.305903196334839,9.651073651719681
NAC,2001,1.071615365403631,.0542321391403675,2.827472925186157,73.87841168381711
ECS,2001,3.479889262978602,.4828799366950989,3.808698892593384,30.64567910751357
SAS,2001,9.48171374669929,1.913235664367676,1.278295636177063,3.774874448280229
SSF,2001,17.08082217272884,1.913423895835876,2.311808109283447,3.789666954833922
EAS,2001,9.344274160814082,3.095273494720459,2.98056960105896,8.931239327790147
LCN,2001,7.171119998313875,.6057994961738586,3.623882055282593,14.14963028218018
WLD,2001,8.60739982262686,8.607399940490723,4.338751792907715,14.11402488510503
AFW,2001,15.41091926307524,.6978113651275635,1.964230537414551,3.568797896644394
NAC,2002,1.033194790164457,.0520954914391041,2.734014987945557,74.09292192640048
LCN,2002,6.670698362088145,.5636876821517944,3.35644268989563,14.08853967829631
MEA,2002,6.594028568218076,.5400156378746033,2.299946308135986,9.766183850068758
