country/economy code,year,"reporting data level: rural, urban, or national coverage",income or consumption used in survey,"Prosperity Gap, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
ARG,2011,urban,income,1.878112493758721,2.12175178527832,31.632317994989
ARG,2012,urban,income,1.855473125573051,2.07738733291626,31.348795342755
ARG,2013,urban,income,1.859015429900168,2.083046197891235,31.374293028925
ARG,2014,urban,income,1.958569211218645,2.04683518409729,29.261862045081
ARG,2016,urban,income,1.935746481245869,2.099107980728149,30.362976939534
ARG,2017,urban,income,1.821132650837008,2.067561388015747,31.788854206097
ARG,2018,urban,income,2.045903798547096,2.093378782272339,28.649738426926
ARG,2019,urban,income,2.181640760610727,2.173870325088501,27.900270272614
ARG,2020,urban,income,2.434027964720769,2.115760803222656,24.338792585339
ARG,2021,urban,income,2.184794682060009,2.063437700271606,26.444706440931
ARG,2022,urban,income,2.118253761456187,1.889494776725769,24.976164920963
ARG,2023,urban,income,2.256163772472789,2.014606475830078,25.002166108131
ARM,1996,national,income,6.395968845500204,1.777097105979919,7.779700173736
ARM,1999,national,consumption,7.057371099228077,1.477742433547974,5.86291814573
ARM,2001,national,consumption,7.336791267411955,1.459732294082642,5.570896405766
ARM,2002,national,consumption,6.844450152809113,1.428456902503967,5.843682676151
ARM,2003,national,consumption,6.37851301304108,1.368201494216919,6.006045835904
ARM,2004,national,consumption,5.673264068517273,1.508772253990173,7.446440739557
ARM,2005,national,consumption,4.954477917186211,1.451845407485962,8.205036226135
ARM,2006,national,consumption,4.648482013811982,1.314834475517273,7.919868259221
ARM,2007,national,consumption,4.306181468048842,1.356752634048462,8.821985935063999
ARM,2008,national,consumption,4.048958872343474,1.303910851478577,9.017010602576001
ARM,2009,national,consumption,4.454571304241199,1.274995088577271,8.014208292604
ARM,2010,national,consumption,4.479575752570859,1.309008002281189,8.182074942536
ARM,2011,national,consumption,4.368818860883485,1.303239345550537,8.352532837318
ARM,2012,national,consumption,4.235189393589575,1.308779120445251,8.652698199084
ARM,2013,national,consumption,4.19576170899193,1.345356702804565,8.978104855772999
ARM,2014,national,consumption,4.13253538527244,1.359061241149902,9.208321225408
